Titulos,sinopse,duracao,caminhoPoster
"Lady Bird;""No último ano do ensino médio, Lady Bird (Saoirse Ronan) sonha em estudar longe de Sacramento, Califórnia, apesar da resistência de sua mãe (Laurie Metcalf). Enquanto aguarda a oportunidade de partir, ela enfrenta as demandas acadêmicas, experiências amorosas e conflitos familiares, buscando sua independência e identidade"";1h35min;src/CinemaToten/LadyBird.png"
"Meninas Malvadas;""Cady Heron (Lindsay Lohan), criada na África e sem experiência escolar, ingressa em uma escola pública nos Estados Unidos. Confrontada com a maldade das colegas, Cady descobre como a fofoca pode prejudicar sua vida e, para complicar ainda mais, se apaixona pelo garoto errado."";1h37min;src/CinemaToten/Meninas.png"
"Indiana Jones;""Nos anos 60, durante a Guerra Fria, o arqueólogo Indiana Jones (Harrison Ford) planeja se aposentar, mas é convocado por sua afilhada Helena (Phoebe Waller-Bridge) para uma última aventura em busca de uma relíquia perdida capaz de alterar o curso da história."";2h22min;src/CinemaToten/Indiana.png"
